ClienteID,NombreCliente,EdadEstimada,Monto,EtapaCredito,DiasAtraso
9,Thomas Berry,46-55,611,61_90D,74
13,James Hammond,46-55,3825,31_60D,89
23,Misty Stout,18-25,18043,1_30D,94
26,William Wallace,18-25,8528,0SANA,72
27,Amanda Taylor,26-35,3752,31_60D,80
29,Jeffrey Fisher,18-25,12394,0SANA,90
36,Jennifer Robbins,18-25,1942,0SANA,74
38,Shawn Brown,18-25,10110,31_60D,40
41,Cameron Proctor,18-25,10481,31_60D,84
45,Veronica Barnett,18-25,8450,31_60D,81
52,Craig Gonzalez,56+,10073,31_60D,94
55,Tanya Lamb,56+,10696,61_90D,89
59,Danny Mason,36-45,5126,61_90D,68
65,Paul Hoover,18-25,19593,0SANA,64
69,Barbara Baker,18-25,6527,0SANA,79
79,Stephanie Walker,18-25,6784,61_90D,12
83,Michael Brown,18-25,8069,31_60D,45
89,Brandon Ramos,18-25,12804,0SANA,97
92,Rick Rodriguez,36-45,5706,61_90D,84
102,Christian Walker,18-25,821,31_60D,82
104,Jeanette Terrell,18-25,18880,31_60D,82
106,Beth Stevens,26-35,12411,31_60D,61
108,Donna Lewis,26-35,16001,61_90D,78
112,Cameron Alvarez,18-25,17308,31_60D,-5
113,Abigail Mccormick,18-25,16332,0SANA,86
116,Christian Murray,18-25,16066,61_90D,31
128,Hannah Vaughn,18-25,6379,31_60D,54
134,Richard Campbell,18-25,9173,31_60D,99
140,Anthony Scott,18-25,11302,61_90D,49
157,Alexander Thomas,18-25,16047,31_60D,4
158,Tyrone Simmons,36-45,19727,61_90D,97
159,Jay Cline PhD,18-25,17325,61_90D,75
165,Joseph Collins,18-25,15819,31_60D,11
167,Annette Klein,18-25,7544,1_30D,91
168,Rebecca Andrade,46-55,4921,31_60D,80
169,Felicia White,18-25,11052,0SANA,72
171,Andrew Hernandez,18-25,11413,31_60D,39
175,Mary Pierce,18-25,12015,0SANA,79
183,Christopher Brooks,18-25,14665,0SANA,93
186,Angel Berry,18-25,5806,61_90D,75
194,Michelle Thomas,56+,17338,31_60D,83
195,Brenda Aguirre,18-25,18775,61_90D,39
203,Melissa Baird,18-25,1104,31_60D,39
209,Jerry Cabrera,46-55,13801,61_90D,86
212,Heather Collins,18-25,11778,31_60D,17
219,Michael Richardson,18-25,1139,0SANA,77
221,Tammy Hickman,18-25,3554,1_30D,74
229,Joseph Glenn,18-25,16245,61_90D,63
232,Ricardo Gonzalez,18-25,14278,31_60D,27
236,Seth Richard,18-25,7841,31_60D,16
247,Robert Phillips,46-55,8985,31_60D,75
248,Amber Dillon,18-25,8825,0SANA,75
250,Christopher Cook,18-25,11329,31_60D,92
251,Candace Williams,46-55,14861,61_90D,87
254,Amber Sandoval,18-25,7121,1_30D,91
256,Carolyn Hubbard,46-55,6033,61_90D,69
257,Nancy Krueger,18-25,15429,61_90D,8
262,Christina Moreno,56+,12231,31_60D,97
276,Karen Bell,46-55,9053,61_90D,93
288,Kyle Moore,18-25,3154,31_60D,81
291,William Brown,18-25,10486,0SANA,74
298,Zoe Turner,18-25,4550,61_90D,-5
304,Vanessa Anderson,18-25,5476,0SANA,90
309,Marcus Serrano,26-35,3247,31_60D,97
316,Peter Cunningham,18-25,19225,0SANA,96
325,Casey Bowman,18-25,13625,61_90D,75
326,Mary Long,18-25,16997,1_30D,94
331,Wesley Watkins,18-25,4528,31_60D,21
334,Dalton Myers,46-55,6380,31_60D,67
337,Sara Henderson,18-25,11487,0SANA,86
339,Amanda Blake,36-45,8973,31_60D,96
347,Troy Harmon,18-25,6585,0SANA,82
355,Jacqueline Cox,26-35,10117,31_60D,64
359,Kelli Sanchez,18-25,16615,0SANA,99
367,Latasha Dean,18-25,14395,31_60D,32
373,William Howell,26-35,8987,31_60D,98
386,Denise Pham,26-35,6673,31_60D,98
388,Gail Stewart,46-55,12722,61_90D,77
389,Elizabeth Wright,18-25,9126,61_90D,95
392,Deborah Richard,18-25,2983,1_30D,90
395,Melinda Anderson,46-55,4821,31_60D,80
405,Sandra Andrews,56+,11051,31_60D,93
410,John Mendoza,18-25,691,1_30D,80
412,Catherine Fisher,18-25,11080,31_60D,21
413,Mr. Michael Zhang,18-25,1045,61_90D,14
414,Steven Reyes,18-25,12507,0SANA,68
416,Carrie Berger,18-25,1038,31_60D,47
418,Leonard Mueller,46-55,17820,61_90D,70
425,Linda Mullins,56+,7599,61_90D,90
426,Jordan Clark,26-35,1213,61_90D,87
430,Kiara Paul,18-25,8458,61_90D,71
431,Jason Webster,18-25,1618,0SANA,85
449,Katie Carr DDS,18-25,3033,0SANA,65
450,Derek Rogers,46-55,4810,31_60D,88
451,Marcus Grant,18-25,18442,31_60D,62
456,Dr. Jacob Kelly,18-25,15501,61_90D,45
458,Morgan Wilson,18-25,5500,61_90D,16
460,Dawn Hunt,46-55,17465,61_90D,61
463,Laura Salas,26-35,15987,31_60D,81
465,Jessica Kelly,56+,10348,31_60D,72
467,Kristen Patel,18-25,7384,0SANA,96
469,Bruce Thompson,18-25,4443,0SANA,69
471,Robert Dickerson,26-35,16673,31_60D,87
475,William Mills,46-55,14487,31_60D,91
481,Joseph Hess,18-25,2289,0SANA,70
482,Amy Walters,18-25,2897,31_60D,62
501,Robert Webb,18-25,4809,31_60D,94
504,Daniel Arnold,18-25,17587,61_90D,27
512,Erin Arias,18-25,11404,1_30D,94
513,Jamie Holden,18-25,7801,61_90D,80
516,Ronald Shea,46-55,10684,31_60D,72
519,Matthew Banks,26-35,2841,61_90D,65
524,John Holmes,46-55,12237,31_60D,95
527,Carlos Taylor,18-25,9237,61_90D,89
533,Megan Thompson,18-25,11558,31_60D,99
542,Daisy Dominguez,26-35,2478,31_60D,73
555,Luis Villarreal,56+,14668,61_90D,61
557,Elizabeth Rose,26-35,9634,31_60D,66
569,Tracy Martin,56+,7131,31_60D,64
577,Jonathan Baker,36-45,12805,61_90D,97
586,Kathleen Robinson,46-55,11291,61_90D,91
589,Michael May,18-25,3969,61_90D,90
593,Kevin Johnson,46-55,13813,61_90D,95
605,Lonnie Branch,36-45,1931,31_60D,71
613,James Watson,18-25,961,31_60D,27
615,Katrina Martin,18-25,4865,31_60D,61
617,Carol Peterson,18-25,6913,0SANA,96
618,Gerald Crawford,18-25,2235,31_60D,55
630,Jaime Crawford,18-25,10822,1_30D,79
632,David Rodriguez,18-25,17156,31_60D,64
637,Valerie Becker,18-25,12473,1_30D,69
660,Adam Becker MD,18-25,6744,0SANA,83
662,Richard White,18-25,16020,1_30D,62
668,Jessica Lopez,36-45,2404,61_90D,65
670,Brooke Robertson,46-55,5859,31_60D,91
672,Cynthia Oliver,26-35,3277,31_60D,61
680,Ashley Yates,18-25,9833,61_90D,55
684,Christopher Gordon,36-45,11995,61_90D,74
685,Jennifer Fletcher,18-25,1987,1_30D,83
704,Michelle Rangel,56+,15134,31_60D,84
709,Jeremy Dorsey,36-45,4497,31_60D,71
711,Alexandra Holmes,18-25,7563,0SANA,75
716,Ricky Kelley,36-45,11528,31_60D,73
717,Andrew Hudson,18-25,2893,31_60D,35
733,James Black,18-25,17344,31_60D,58
737,James Warren,26-35,8708,31_60D,73
739,Carol Duncan,18-25,14519,0SANA,87
741,Elizabeth Ross,18-25,18459,0SANA,90
744,Riley Daniels,36-45,7305,61_90D,99
752,Eric Collins,18-25,13333,0SANA,74
756,Brandon Morales,18-25,9134,0SANA,69
761,Taylor Horton,26-35,12056,61_90D,72
764,Shane Caldwell,18-25,18994,0SANA,79
767,Candace Blackburn,46-55,10602,61_90D,83
772,Jasmine Park,18-25,17476,31_60D,76
773,Matthew Hamilton,36-45,7705,61_90D,75
774,Clinton James,18-25,1859,61_90D,72
780,Jeffery Houston,18-25,9446,31_60D,42
788,Alisha Wilson,26-35,8534,31_60D,92
789,David Morales,18-25,9226,0SANA,85
791,Mercedes Rowe,18-25,2362,0SANA,61
792,Mercedes Fisher,26-35,3944,61_90D,73
801,Jennifer Ferrell,18-25,13613,0SANA,96
818,Jason Doyle,18-25,9208,0SANA,61
819,Kathleen Galvan,46-55,15968,31_60D,92
822,Christopher Richmond,18-25,2287,1_30D,91
828,Stephanie Marquez,46-55,18949,31_60D,91
832,Dawn Richards,18-25,3986,31_60D,45
838,John Garcia,18-25,2326,0SANA,95
856,Justin Riley,18-25,19509,1_30D,97
862,Alexis Morgan MD,26-35,7270,61_90D,78
865,Julie Gregory,56+,11780,61_90D,93
868,Matthew Peterson,18-25,1944,0SANA,71
874,Jeffrey Mcintyre,18-25,701,31_60D,70
879,Jordan Gray,36-45,16935,31_60D,62
880,Dr. Cynthia Wood,18-25,3420,0SANA,80
881,Kristine Fleming,18-25,14151,31_60D,95
890,Miss Ashley Garcia,18-25,4501,0SANA,82
899,Austin Higgins,56+,10323,31_60D,94
907,Caroline Garcia,18-25,6531,0SANA,74
911,Antonio West,46-55,6534,31_60D,97
913,Robert Hill,18-25,18191,31_60D,9
922,Michael Avery,36-45,8694,31_60D,81
924,Kathleen Davis,18-25,13604,61_90D,63
928,Lauren Johnson,18-25,2543,61_90D,28
929,Teresa Vasquez,18-25,3317,31_60D,51
932,Ryan Lang,18-25,2330,0SANA,69
938,Eric Price DDS,36-45,18518,31_60D,92
952,Anthony Ray,18-25,10668,61_90D,6
957,Christopher Johnson,18-25,583,1_30D,83
963,Angela Smith,18-25,2603,0SANA,90
964,Leah Blackwell,26-35,4339,31_60D,63
966,Megan Curtis,18-25,774,0SANA,66
970,Christian Thompson,46-55,14143,31_60D,70
978,Joann Thornton,36-45,13879,31_60D,68
990,Annette Alvarez,18-25,2374,31_60D,75
991,Alejandra Trevino,46-55,13113,31_60D,66
993,Alan Brooks,46-55,3552,31_60D,65
998,Nicole Morgan,18-25,14630,61_90D,-1
1002,Jessica Campbell,46-55,2605,31_60D,72
1004,Ashley Long MD,18-25,9140,1_30D,65
1016,Lindsey Clark,26-35,876,31_60D,70
1018,Gina Kennedy,18-25,4860,0SANA,95
1025,Michael Braun,18-25,4920,31_60D,41
1030,Mr. Robert Bernard DDS,18-25,14530,31_60D,34
1034,Tina Brown,46-55,12291,31_60D,73
1038,Tony Gamble,26-35,14433,31_60D,98
1041,James Campbell,26-35,15893,61_90D,80
1046,Connie Huff,18-25,18410,0SANA,89
1047,Sarah Hamilton,36-45,16296,31_60D,64
1049,Jennifer Campbell,36-45,2972,31_60D,94
1052,Tamara Delacruz,18-25,2983,0SANA,92
1053,Dylan Jones,26-35,4459,31_60D,68
1058,Erica Ali,46-55,2500,31_60D,85
1060,Terri Morris,46-55,10338,61_90D,76
1062,Aaron Key,18-25,4557,0SANA,71
1064,Kristen Smith,46-55,16939,31_60D,65
1077,Roy Gibbs,18-25,7736,31_60D,7
1078,Hannah Peterson,18-25,17170,61_90D,69
1079,Brett Moore,56+,10319,31_60D,71
1080,Paul Nichols,56+,14326,31_60D,75
1081,Tammy Rodriguez,26-35,12950,31_60D,97
1091,David Barnes,18-25,5609,1_30D,74
1093,Daniel Anderson,18-25,2646,31_60D,30
1095,Vincent Andrews,18-25,13343,31_60D,89
1117,Brian Zamora,36-45,8332,31_60D,90
1120,Caleb Ramirez,18-25,14084,1_30D,73
1121,Sheryl Porter,18-25,1845,31_60D,35
1123,Danielle Boyd,18-25,6517,0SANA,74
1127,Charles Winters,18-25,1960,0SANA,99
1132,Lori Johnson,18-25,9816,1_30D,80
1135,Madeline Anderson,18-25,17624,31_60D,8
1136,William Moore,26-35,7530,61_90D,71
1137,Ricardo Mccoy,18-25,8392,0SANA,78
1143,Robert Guzman,18-25,821,1_30D,77
1145,Julie Rowe,36-45,4000,31_60D,99
1152,Anthony Burns,46-55,6200,31_60D,89
1154,Paul Mann,18-25,12414,61_90D,82
1164,Cheryl Dalton,46-55,14391,31_60D,97
1174,Nichole Santos,36-45,17636,31_60D,99
1183,Richard Tucker,36-45,916,31_60D,67
1196,James Chavez,18-25,4762,61_90D,67
1198,Jason Williams,18-25,13940,31_60D,19
1201,James Dawson,18-25,12667,0SANA,67
1204,Nicole Barker,36-45,3717,31_60D,73
1214,Theresa Aguilar,18-25,15489,0SANA,87
1215,Elizabeth Graves,18-25,2880,0SANA,81
1217,Tina Hawkins,18-25,17701,0SANA,70
1218,Laura Lewis,18-25,10567,0SANA,93
1219,Erica Hubbard,18-25,9979,61_90D,89
1234,Jared Santiago,26-35,8131,31_60D,79
1235,Paul Lam,46-55,14785,31_60D,69
1250,Eric Wood,56+,14286,31_60D,78
1254,Tina Steele,18-25,18827,0SANA,95
1273,Steven Jones,18-25,18238,31_60D,20
1276,Jordan Martinez,36-45,14053,61_90D,89
1279,Christopher Thornton,46-55,16346,31_60D,64
1280,Leslie Bailey,18-25,6720,31_60D,84
1284,William Barnes,26-35,2376,31_60D,68
1291,Michael Lee,18-25,16071,31_60D,18
1295,Kenneth Wells,26-35,4634,31_60D,92
1302,James Cain,18-25,12085,61_90D,27
1303,Christine Terrell,18-25,1135,31_60D,97
1309,Tony Jones,56+,1731,31_60D,76
1311,Brenda Navarro,18-25,19449,1_30D,86
1314,Samuel Reyes,36-45,13400,31_60D,84
1320,Sarah Alvarado,18-25,4120,31_60D,31
1321,Katie Greer,18-25,9503,31_60D,68
1330,Cynthia Harris,18-25,19117,0SANA,90
1349,Jared Rosales,18-25,16390,61_90D,64
1350,John Smith,18-25,4470,31_60D,61
1356,Kristy Kirby,18-25,13965,61_90D,89
1357,Alexa Walker,46-55,10592,61_90D,93
1359,Mackenzie Williams,18-25,17536,1_30D,68
1365,Alyssa Blake,26-35,9478,61_90D,89
1366,Nancy Zimmerman,18-25,7797,31_60D,9
1380,Holly Lucas,18-25,6408,1_30D,65
1382,Katie Thomas,56+,5981,31_60D,79
1383,Alexa Wilson,26-35,18955,31_60D,87
1386,Sandra Brooks,36-45,14225,31_60D,65
1394,Allison Garcia,18-25,7431,0SANA,82
1402,Robert Miller,18-25,19402,0SANA,89
1403,David Smith PhD,56+,587,61_90D,84
1407,Michael Garcia,18-25,10855,31_60D,20
1421,Lisa Howard,18-25,3830,61_90D,0
1427,Meredith Nguyen,18-25,16407,31_60D,52
1428,Michael Walton,18-25,12649,61_90D,80
1430,David Hodge,26-35,17910,31_60D,88
1432,Steven Downs,26-35,19068,31_60D,77
1434,Peter Walker,36-45,1860,31_60D,66
1438,Mark Stout,18-25,4392,61_90D,63
1442,Kelly Hendricks,18-25,6774,31_60D,54
1455,Paul Thomas,18-25,9173,0SANA,93
1458,Paul Cox,18-25,4788,0SANA,83
1459,Christopher Chandler,18-25,11273,61_90D,85
1460,Michael Morgan,26-35,4993,31_60D,71
1477,Adrian Roach,56+,17609,61_90D,70
1480,Teresa Mcclain,56+,2244,31_60D,62
1482,Brian Hale,18-25,3686,31_60D,83
1484,Jessica Brooks,26-35,11841,31_60D,64
1489,Laura Turner,36-45,8279,61_90D,65
1491,Carmen Bright,46-55,10060,61_90D,64
